Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","Houston, TX","2,385","112","143","948","1,182","10,457","960","9,186","267"
"2002","Houston, TX","2,594","122","187","1,116","1,169","11,160","1,040","9,882","205"
"2003","Houston, TX","2,581","99","231","1,118","1,133","10,885","1,013","9,663","160"
"2004","Houston, TX","2,630","83","249","1,126","1,172","10,995","1,080","9,707","176"
"2005","Houston, TX","2,447","138","220","964","1,125","10,252","1,176","8,883","151"
"2006","Houston, TX","2,857","141","257","1,154","1,305","10,669","1,188","9,360","85"
"2007","Houston, TX","3,003","152","230","1,328","1,293","11,315","1,256","9,988","38"
"2008","Houston, TX","3,214","128","228","1,293","1,565","11,302","1,231","10,014","14"
"2009","Houston, TX","3,641","108","227","1,480","1,826","12,866","1,509","11,318","7"
"2010","Houston, TX","3,461","136","200","1,348","1,777","13,213","1,440","11,730","19"
"2011","Houston, TX","2,974","104","168","1,164","1,538","12,118","1,352","10,729","15"
"2012","Houston, TX","3,076","93","167","1,058","1,758","11,061","1,294","9,727","15"
"2013","Houston, TX","~","106","~","1,238","1,906","10,312","1,114","9,163","6"
"2014","Houston, TX","~","122","~","1,190","1,743","8,619","991","7,363","248"
"2001","Corpus Christi, TX","573","14","41","133","385","2,038","185","1,620","232"
"2002","Corpus Christi, TX","510","13","29","148","320","2,100","165","1,705","222"
"2003","Corpus Christi, TX","461","14","27","111","309","2,300","153","1,960","184"
"2004","Corpus Christi, TX","449","13","30","127","279","2,350","180","2,012","154"
"2005","Corpus Christi, TX","466","7","16","109","334","2,209","165","1,921","118"
"2006","Corpus Christi, TX","417","11","13","111","282","2,020","153","1,719","147"
"2007","Corpus Christi, TX","495","10","15","148","322","1,797","188","1,486","114"
"2008","Corpus Christi, TX","507","10","16","135","346","2,351","250","1,959","139"
